# x, Trad, Tgas
1.216166809456e-02, 3.198324117457e+00, 3.136186263277e+00
1.219249615057e-02, 3.209970403801e+00, 3.147608343590e+00
1.222332420658e-02, 3.221405927361e+00, 3.162434268798e+00
1.225415226258e-02, 3.232930562382e+00, 3.178519573676e+00
1.228498031859e-02, 3.244243482759e+00, 3.190449042757e+00
1.231580837460e-02, 3.255635120890e+00, 3.200396789594e+00
1.234663643060e-02, 3.266800116279e+00, 3.212970690454e+00
1.237746448661e-02, 3.278060350778e+00, 3.227749144403e+00
1.240829254262e-02, 3.289103345939e+00, 3.241451018264e+00
1.243912059862e-02, 3.300243836238e+00, 3.253214606736e+00
1.246994865463e-02, 3.311154422134e+00, 3.263589260866e+00
1.250077671064e-02, 3.322158949159e+00, 3.275145331436e+00
1.253160476664e-02, 3.332938222545e+00, 3.287892537996e+00
1.256243282265e-02, 3.343820802286e+00, 3.300815612339e+00
1.259326087866e-02, 3.354482354678e+00, 3.313204059139e+00
1.262408893466e-02, 3.365243099919e+00, 3.324204143523e+00
1.265491699067e-02, 3.375779557469e+00, 3.334120062423e+00
1.268574504668e-02, 3.386409175590e+00, 3.346115061985e+00
1.271657310268e-02, 3.396829300421e+00, 3.359068312992e+00
1.274740115869e-02, 3.407346158128e+00, 3.371130406861e+00
1.277822921469e-02, 3.417653272467e+00, 3.381778459164e+00
1.280905727070e-02, 3.428049432415e+00, 3.391122952204e+00
1.283988532671e-02, 3.438231151235e+00, 3.402026494395e+00
1.287071338271e-02, 3.448513418058e+00, 3.415536116771e+00
1.290154143872e-02, 3.458590912627e+00, 3.427696691170e+00
1.293236949473e-02, 3.468767161886e+00, 3.436507480022e+00
1.296319755073e-02, 3.478720190074e+00, 3.445368187387e+00
1.299402560674e-02, 3.488777966970e+00, 3.456457818770e+00
1.302485366275e-02, 3.498618146448e+00, 3.470443349520e+00
1.305568171875e-02, 3.508587291020e+00, 3.481623911425e+00
1.308650977476e-02, 3.518315469138e+00, 3.489837864401e+00
1.311733783077e-02, 3.528172083441e+00, 3.497494473218e+00
1.314816588677e-02, 3.537772681846e+00, 3.511309217054e+00
1.317899394278e-02, 3.547543596004e+00, 3.522056870041e+00
1.320982199879e-02, 3.557014851334e+00, 3.532803894559e+00
1.324065005479e-02, 3.566623569643e+00, 3.538632954337e+00
1.327147811080e-02, 3.575015441182e+00, 3.709843704079e+00
1.330230616681e-02, 3.586845783633e+00, 4.267339321170e+00
1.333313422281e-02, 3.591717979596e+00, 4.217593840441e+00
1.336396227882e-02, 3.602255209383e+00, 4.211490779432e+00
1.339479033482e-02, 3.606361561926e+00, 4.174401131256e+00
